epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,406.372,1.72556,3.14588,1.74461,0.19233,0.21041,0.14189,0.06484,1.74273,2.85924,1.65714,0.000367897,0.000367897,0.000367897
2,750.985,1.72781,2.60762,1.67398,0.2354,0.31999,0.18439,0.08799,1.72701,2.66635,1.64762,0.000665145,0.000665145,0.000665145
3,1074.3,1.69996,2.46361,1.66922,0.27107,0.33319,0.20123,0.09437,1.7541,2.61898,1.69852,0.000889068,0.000889068,0.000889068
4,1386.07,1.66534,2.34273,1.64056,0.30312,0.37527,0.25388,0.11754,1.70092,2.44713,1.64457,0.000781033,0.000781033,0.000781033
5,1743.48,1.6355,2.24949,1.60649,0.33127,0.44021,0.2896,0.14065,1.65098,2.13669,1.57997,0.000671044,0.000671044,0.000671044
6,2111.75,1.61507,2.1164,1.59181,0.33786,0.50917,0.35254,0.17091,1.63694,2.14483,1.53733,0.000561055,0.000561055,0.000561055
7,2516.28,1.55748,2.0258,1.53937,0.43624,0.45685,0.38454,0.1914,1.62162,1.9967,1.53469,0.000451066,0.000451066,0.000451066
8,2908.02,1.52897,1.93042,1.52836,0.4486,0.49341,0.42422,0.22647,1.56046,1.81262,1.50807,0.000341077,0.000341077,0.000341077
9,3323.72,1.51033,1.82749,1.50631,0.45527,0.50844,0.46182,0.24453,1.55333,1.77594,1.4856,0.000231088,0.000231088,0.000231088
10,3674.08,1.47904,1.76685,1.47494,0.47173,0.54713,0.47321,0.24969,1.53459,1.70134,1.47303,0.000121099,0.000121099,0.000121099
